	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
3440	4	0	0	0	1	2	0	1	2	0	1	0	0	0	2	2	0	2	1	0	2	1	1	2	0	2	2	4	0	2	2	0	1	3	1	1	1	4	1	0
3480	1	2	0	0	1	1	0	1	0	2	2	1	3	0	1	0	1	1	1	0	1	1	1	0	2	1	3	3	3	0	0	0	0	1	1	0	2	4	0	0
3520	2	2	0	0	2	0	1	4	2	0	3	0	2	5	1	1	0	3	2	1	1	0	0	0	2	1	1	3	2	2	3	3	2	1	0	1	1	2	0	0
3560	2	5	2	0	3	2	1	2	1	1	1	0	3	1	1	2	1	3	1	2	4	0	2	0	1	2	2	1	0	0	0	0	2	2	0	0	1	0	2	3
3600	1	0	2	1	2	1	2	1	0	0	3	2	1	1	1	3	0	0	1	2	2	2	1	1	2	1	1	1	4	2	2	2	1	0	0	0	2	2	1	1
3640	1	0	1	0	2	1	2	1	1	1	2	1	1	3	1	3	0	0	1	1	0	0	0	1	1	0	2	2	1	0	2	1	2	3	1	2	2	0	1	2
3680	0	2	2	2	1	2	4	1	0	1	0	1	1	3	2	2	1	0	1	0	0	2	0	4	1	1	2	0	0	0	0	1	1	1	0	0	1	1	3	2
3720	2	3	4	0	2	2	2	1	1	1	2	0	0	1	2	1	1	0	1	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	2	2	1	1	0
3760	0	2	2	1	0	2	3	1	0	2	0	0	4	2	1	1	1	0	1	0	0	3	2	1	3	1	0	2	0	0	2	0	1	1	0	1	0	1	2	1
3800	0	1	2	4	0	1	0	2	0	3	1	0	2	4	0	0	3	0	0	0	1	1	5	0	1	1	3	0	0	3	2	1	1	1	1	0	0	0	1	1
3840	1	2	1	1	1	2	2	1	1	0	1	0	1	0	2	2	1	2	2	1	0	0	0	2	1	3	1	0	1	3	1	2	2	2	2	2	1	0	1	0
3880	1	0	0	3	3	0	2	1	0	0	0	2	1	1	1	0	1	2	2	0	0	0	1	1	0	0	0	3	2	0	1	1	1	0	2	0	3	2	0	1
3920	2	0	5	0	0	1	2	2	2	0	1	0	3	1	2	1	0	1	1	2	3	1	1	2	0	0	2	1	0	2	0	1	2	2	0	2	3	4	0	1
3960	0	1	1	3	1	0	1	0	1	1	1	1	3	0	1	2	2	0	2	0	0	0	0	1	1	1	3	0	1	0	1	3	0	1	1	3	1	1	0	0
