Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  391 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 644259,  647378,  3119 
208 , 3634415,  3643122,  8707 , 1648195 
209 , 4458531,  4467251,  8720 , 1648245 
210 , 5282457,  5291192,  8735 , 1647867 
211 , 6106394,  6115140,  8746 , 1647885 
212 , 6930188,  6938946,  8758 , 1647600 
213 , 7753959,  7762729,  8770 , 1647554 
214 , 8577534,  8586318,  8784 , 1647164 
215 , 9401118,  9409914,  8796 , 1647180 
216 , 10224538,  10233346,  8808 , 1646852 
217 , 11047986,  11056807,  8821 , 1646909 
218 , 11871254,  11880086,  8832 , 1646547 
219 , 12694525,  12703372,  8847 , 1646557 
220 , 13517638,  13526496,  8858 , 1646237 
221 , 14340735,  14349605,  8870 , 1646206 
222 , 15163632,  15172516,  8884 , 1645808 
223 , 15986584,  15995481,  8897 , 1645917 
224 , 16809319,  16818229,  8910 , 1645483 
225 , 17632079,  17641002,  8923 , 1645533 
226 , 18454676,  18463614,  8938 , 1645209 
227 , 19277278,  19286226,  8948 , 1645214 
228 , 20099710,  20108672,  8962 , 1644878 
229 , 20922152,  20931126,  8974 , 1644896 
230 , 21744411,  21753399,  8988 , 1644532 
231 , 22566704,  22575703,  8999 , 1644597 
232 , 23388815,  23397827,  9012 , 1644235 
233 , 24210968,  24219994,  9026 , 1644320 
234 , 25032903,  25041942,  9039 , 1643883 
235 , 371220,  382269,  11049 , 8540613236 
236 , 1184433,  1195494,  11061 , 1626438 
237 , 1997600,  2008677,  11077 , 1626350 
238 , 2810706,  2821797,  11091 , 1626226 
239 , 3623777,  3634883,  11106 , 1626157 
240 , 4436791,  4447910,  11119 , 1626041 
241 , 5249809,  5260942,  11133 , 1626050 
242 , 6062712,  6073856,  11144 , 1625817 
243 , 6875630,  6886790,  11160 , 1625852 
244 , 7688452,  7699625,  11173 , 1625657 
245 , 8501298,  8512484,  11186 , 1625705 
246 , 9314039,  9325238,  11199 , 1625495 
247 , 10126771,  10137985,  11214 , 1625479 
248 , 10939399,  10950627,  11228 , 1625270 
249 , 11752064,  11763308,  11244 , 1625346 
250 , 12564629,  12575887,  11258 , 1625144 
251 , 13377218,  13388491,  11273 , 1625193 
252 , 14189719,  14201001,  11282 , 1625011 
253 , 15002205,  15013507,  11302 , 1624992 
254 , 15814589,  15825902,  11313 , 1624779 
255 , 16626999,  16638328,  11329 , 1624836 
256 , 316602,  335657,  19055 , 8557321524 
257 , 1118620,  1137693,  19073 , 1604054 
258 , 1920511,  1939613,  19102 , 1603811 
259 , 2722612,  2741729,  19117 , 1604217 
260 , 3524488,  3543630,  19142 , 1603777 
261 , 4326561,  4345717,  19156 , 1604160 
262 , 5128424,  5147605,  19181 , 1603751 
263 , 5930475,  5949668,  19193 , 1604114 
264 , 6732325,  6751543,  19218 , 1603725 
265 , 7534333,  7553568,  19235 , 1604033 
266 , 8336168,  8355424,  19256 , 1603691 
267 , 9138176,  9157448,  19272 , 1604032 
268 , 9939982,  9959278,  19296 , 1603636 
269 , 10741975,  10761290,  19315 , 1604005 
270 , 11543719,  11563052,  19333 , 1603506 
271 , 12345701,  12365056,  19355 , 1603986 
272 , 13147406,  13166789,  19383 , 1603438 
273 , 13949342,  13968743,  19401 , 1603890 
274 , 14751012,  14770439,  19427 , 1603366 
275 , 15552941,  15572388,  19447 , 1603878 
276 , 16354564,  16374038,  19474 , 1603273 
277 , 195767,  239334,  43567 , 8557641091 
278 , 993388,  1037031,  43643 , 1595318 
279 , 1791262,  1834966,  43704 , 1595809 
280 , 2588949,  2632711,  43762 , 1595432 
281 , 3386285,  3430120,  43835 , 1594745 
282 , 4184292,  4228167,  43875 , 1596054 
283 , 4981736,  5025672,  43936 , 1594949 
284 , 5779747,  5823725,  43978 , 1596064 
285 , 6577553,  6621142,  43589 , 1595223 
286 , 7375173,  7419231,  44058 , 1595709 
287 , 8172527,  8216641,  44114 , 1594764 
288 , 8970539,  9014686,  44147 , 1596057 
289 , 9767897,  9812090,  44193 , 1594762 
290 , 10565927,  10610159,  44232 , 1596099 
291 , 11363305,  11407590,  44285 , 1594809 
292 , 12161303,  12205617,  44314 , 1596025 
293 , 12958692,  13003050,  44358 , 1594822 
294 , 13756700,  13801091,  44391 , 1596049 
295 , 14554093,  14598529,  44436 , 1594831 
296 , 15352094,  15396555,  44461 , 1596027 
297 , 16149520,  16194029,  44509 , 1594900 
298 , 16947467,  16992010,  44543 , 1595928 
299 , 17744883,  17789468,  44585 , 1594874 
300 , 18542873,  18587487,  44614 , 1596009 
301 , 19340295,  19384955,  44660 , 1594890 
