 0 , 831850,  835031,  3181 
193 , 6932404,  6942997,  10593 , 1664958 
194 , 7764772,  7775382,  10610 , 1664753 
195 , 8597079,  8607709,  10630 , 1664634 
196 , 9429296,  9439945,  10649 , 1664453 
197 , 10261460,  10272127,  10667 , 1664346 
198 , 11093544,  11104230,  10686 , 1664187 
199 , 11925558,  11936265,  10707 , 1664049 
200 , 12757491,  12768215,  10724 , 1663883 
201 , 13589374,  13600118,  10744 , 1663786 
202 , 14421162,  14431924,  10762 , 1663594 
203 , 15252912,  15263693,  10781 , 1663519 
204 , 16084539,  16095339,  10800 , 1663273 
205 , 16916143,  16926962,  10819 , 1663227 
206 , 301134,  317054,  15920 , 8556709675 
207 , 1122615,  1138560,  15945 , 1642987 
208 , 1944013,  1959987,  15974 , 1642825 
209 , 2765431,  2781425,  15994 , 1642856 
210 , 3586781,  3602799,  16018 , 1642724 
211 , 4408145,  4424185,  16040 , 1642750 
212 , 5229442,  5245508,  16066 , 1642620 
213 , 6050837,  6066923,  16086 , 1642810 
214 , 6871992,  6888105,  16113 , 1642337 
215 , 7693333,  7709467,  16134 , 1642703 
216 , 8514450,  8530606,  16156 , 1642256 
217 , 9335751,  9351929,  16178 , 1642624 
218 , 10156809,  10173012,  16203 , 1642141 
219 , 10978062,  10994287,  16225 , 1642528 
220 , 11799089,  11815341,  16252 , 1642081 
221 , 12620274,  12636544,  16270 , 1642388 
222 , 13441255,  13457552,  16297 , 1641989 
223 , 14262410,  14278726,  16316 , 1642329 
224 , 15083356,  15099698,  16342 , 1641918 
225 , 15904466,  15920831,  16365 , 1642243 
226 , 16725358,  16741747,  16389 , 1641808 
227 , 168059,  190905,  22846 , 8556826451 
228 , 985178,  1008062,  22884 , 1634276 
229 , 1802133,  1825044,  22911 , 1633937 
230 , 2619246,  2642185,  22939 , 1634254 
231 , 3436217,  3459186,  22969 , 1633972 
232 , 4253298,  4276293,  22995 , 1634188 
233 , 5070248,  5093270,  23022 , 1633927 
