Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  321 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 880093,  883556,  3463 
227 , 714823,  803221,  88398 , 8555282478 
228 , 1600442,  1688955,  88513 , 1771353 
229 , 2483881,  2572539,  88658 , 1767023 
230 , 3369473,  3458246,  88773 , 1771299 
231 , 4252907,  4341814,  88907 , 1767002 
232 , 5138561,  5227591,  89030 , 1771431 
233 , 6021938,  6111099,  89161 , 1766885 
234 , 6907558,  6996839,  89281 , 1771360 
235 , 7790867,  7880278,  89411 , 1766748 
236 , 8676586,  8766123,  89537 , 1771564 
237 , 9559972,  9649631,  89659 , 1766894 
238 , 10445543,  10535334,  89791 , 1771274 
239 , 11328855,  11418774,  89919 , 1766752 
240 , 12214532,  12304587,  90055 , 1771490 
241 , 13097839,  13188031,  90192 , 1766751 
242 , 13983517,  14073821,  90304 , 1771468 
243 , 14866848,  14957311,  90463 , 1766821 
244 , 15752413,  15843019,  90606 , 1771273 
245 , 16635765,  16726486,  90721 , 1766819 
246 , 17521363,  17612215,  90852 , 1771327 
247 , 18404711,  18495707,  90996 , 1766840 
248 , 226732,  380852,  154120 , 8553641758 
249 , 1110772,  1265189,  154417 , 1768377 
250 , 1989090,  2143776,  154686 , 1756905 
251 , 2873115,  3028066,  154951 , 1768315 
252 , 3751357,  3906612,  155255 , 1756788 
253 , 4635288,  4790854,  155566 , 1768173 
254 , 5513528,  5669392,  155864 , 1756778 
255 , 6397456,  6553626,  156170 , 1768162 
256 , 7275769,  7432224,  156455 , 1756911 
257 , 8159655,  8316395,  156740 , 1768057 
258 , 9037841,  9194875,  157034 , 1756666 
259 , 9921720,  10079044,  157324 , 1768048 
260 , 10799852,  10957429,  157577 , 1756517 
261 , 11683824,  11841651,  157827 , 1768194 
262 , 12561794,  12719902,  158108 , 1756221 
263 , 13445753,  13604184,  158431 , 1768241 
264 , 14323680,  14482413,  158733 , 1756156 
265 , 15207711,  15366738,  159027 , 1768356 
266 , 16085559,  16244874,  159315 , 1755984 
267 , 16969563,  17129208,  159645 , 1768338 
268 , 17847447,  18007402,  159955 , 1756078 
269 , 886771,  939551,  52780 , 8555906065 
270 , 1773084,  1825925,  52841 , 1772687 
271 , 2658270,  2711180,  52910 , 1770441 
272 , 3544574,  3597546,  52972 , 1772670 
273 , 4429752,  4482792,  53040 , 1770424 
274 , 5316101,  5369206,  53105 , 1772763 
275 , 6201256,  6254425,  53169 , 1770374 
276 , 7087574,  7140807,  53233 , 1772700 
277 , 7972691,  8026006,  53315 , 1770316 
278 , 8859031,  8912409,  53378 , 1772743 
279 , 9744147,  9797592,  53445 , 1770299 
280 , 10630467,  10683977,  53510 , 1772705 
281 , 11515577,  11569158,  53581 , 1770291 
282 , 12401900,  12455554,  53654 , 1772719 
283 , 13287024,  13340753,  53729 , 1770323 
284 , 14173312,  14227105,  53793 , 1772640 
285 , 15058452,  15112320,  53868 , 1770355 
286 , 15944752,  15998692,  53940 , 1772672 
287 , 16829819,  16883834,  54015 , 1770209 
288 , 17716140,  17770224,  54084 , 1772711 
289 , 18601154,  18655313,  54159 , 1770103 
290 , 540861,  548234,  7373 , 8553767220 
291 , 1481123,  1488516,  7393 , 1880544 
292 , 2420940,  2428359,  7419 , 1879660 
293 , 3360442,  3367882,  7440 , 1879025 
294 , 4299506,  4306968,  7462 , 1878150 
295 , 5238257,  5245742,  7485 , 1877525 
296 , 6176566,  6184074,  7508 , 1876641 
297 , 7114606,  7122135,  7529 , 1876101 
298 , 8052199,  8059752,  7553 , 1875210 
299 , 8989516,  8997089,  7573 , 1874654 
300 , 9926385,  9933982,  7597 , 1873762 
301 , 10863003,  10870620,  7617 , 1873256 
302 , 11799191,  11806834,  7643 , 1872402 
303 , 12735121,  12742784,  7663 , 1871880 
304 , 13670630,  13678318,  7688 , 1871043 
305 , 14605872,  14613582,  7710 , 1870506 
306 , 15540715,  15548448,  7733 , 1869709 
307 , 16475311,  16483066,  7755 , 1869214 
308 , 17409483,  17417264,  7781 , 1868370 
309 , 18343400,  18351201,  7801 , 1867854 
310 , 19276915,  19284740,  7825 , 1867054 
311 , 20210194,  20218042,  7848 , 1866581 
312 , 21143093,  21150963,  7870 , 1865820 
313 , 22075719,  22083612,  7893 , 1865275 
314 , 23007976,  23015893,  7917 , 1864538 
315 , 23939982,  23947921,  7939 , 1864034 
316 , 24871616,  24879580,  7964 , 1863293 
317 , 25802997,  25810984,  7987 , 1862785 
318 , 26734019,  26742029,  8010 , 1862067 
319 , 27664807,  27672839,  8032 , 1861598 
320 , 28595217,  28603273,  8056 , 1860844 
Число меток разделителя:  12 
0 
101 
122 
143 
164 
185 
206 
227 
248 
269 
290 
321 
Эффективный угловой размер затеняющй спицы:  0.005794607459  0.000003373339 
Период линейных колебаний [сек]:  1.478521520664  0.000860723351   
